group,duration
test,1668
control,1891
test,1738
test,952
test,1453
test,1535
control,1638
control,1915
control,873
control,1482
test,1553
control,1468
test,1900
control,1498
test,950
test,1496
control,935
test,1423
control,1435
test,1300
control,1653
test,1066
control,1155
control,1599
control,1276
test,1420
test,1758
test,1365
control,1677
test,1963
control,1421
test,1478
control,1773
control,1481
control,1496
control,1655
control,1748
test,1285
control,1175
control,1687
test,1425
control,1440
test,1927
test,1093
control,778
control,1665
control,1388
control,1765
control,1322
test,1549
test,1406
test,1091
test,1692
test,1475
test,1544
test,1804
test,1623
control,1660
control,1147
control,1674
control,1738
test,1722
test,1519
control,1257
control,1662
test,1117
test,1737
control,1141
control,1680
test,1201
control,1872
control,1581
test,1536
control,1725
control,1468
control,1619
control,1441
test,1535
control,1361
control,1685
control,1236
control,1201
control,1315
test,1187
control,1104
control,2081
test,1934
control,1570
test,1359
test,1968
test,1863
control,1113
test,2144
control,1214
control,1236
test,1089
test,1649
test,1459
test,1541
control,1558
control,1439
test,1363
control,1931
control,1651
control,1520
test,664
control,1556
test,1448
control,1653
test,1555
test,1362
test,1907
control,1275
control,1253
control,1611
control,1439
control,1659
test,2042
control,1776
control,1377
test,1128
control,1048
control,1831
test,1256
test,1787
control,1313
test,873
control,1547
test,1793
control,1734
control,1395
test,1670
test,1724
control,1618
test,1451
control,1783
test,1477
test,1727
control,1752
test,1162
control,1204
control,1804
control,1023
test,1441
control,1688
test,1126
test,1743
control,1567
test,1880
control,1472
test,1434
control,1462
test,1948
control,1490
test,1593
control,1672
control,1238
test,1649
control,1464
control,1202
control,996
test,2044
test,1669
control,1739
control,1516
test,1684
control,2055
control,1314
control,1079
control,1455
control,1139
test,1675
control,1960
control,1507
test,1256
control,1449
test,1764
control,1206
control,1389
test,1901
test,921
control,1581
test,1160
test,1076
test,1332
control,1280
control,1209
control,1289
control,1769
test,1338
test,707
control,1460
test,1631
test,1792
test,1917
test,1718
control,2018
control,901
control,1656
test,1922
test,1319
control,1607
control,1520
control,1669
control,1449
control,1781
control,1185
test,1394
test,2128
control,2003
test,1516
control,1133
test,1902
control,1544
control,2076
test,1923
control,1256
control,1754
control,1700
test,1656
test,1422
control,1224
control,2160
control,1491
control,1805
test,1569
test,1665
control,1575
test,1360
control,1573
test,1392
test,1698
control,1318
test,1339
control,962
control,1571
test,1669
control,1563
test,1688
test,1907
test,1490
control,1528
control,1893
test,1136
test,1774
test,1642
control,1653
control,2103
test,1714
control,1831
test,1487
test,1780
control,2069
test,1144
test,1488
control,1425
test,1340
test,1062
control,1384
test,1443
test,1791
control,1970
test,1837
control,1361
control,1738
test,2027
test,936
control,1323
control,1359
test,1478
control,1708
control,1756
control,1199
test,1691
test,1839
test,1462
test,1030
test,1788
test,1793
test,1180
control,1089
test,1759
control,1506
test,993
control,1551
control,944
test,1562
test,1746
test,1498
control,1790
control,2151
control,1418
test,1853
control,1390
control,1750
control,1873
control,1838
test,1832
test,1808
control,1281
test,1080
control,1210
control,1309
test,1472
test,1213
test,1721
test,1327
control,945
control,1539
test,1274
control,1883
control,1645
test,1011
control,1427
test,1409
test,1840
control,1309
test,1686
test,918
test,1581
control,1333
test,1242
control,2071
test,1240
test,1074
test,1324
control,1411
test,1279
test,1192
control,1391
test,1593
control,1344
test,2125
control,1803
control,1761
control,1290
test,1414
control,1804
test,1731
control,1515
control,1411
control,1835
test,916
test,1237
control,1552
test,1457
control,1730
control,1354
test,1937
test,1410
test,1951
control,1338
test,961
test,1481
test,1891
test,1598
control,765
test,1642
test,1293
test,1688
control,1169
test,1652
control,1544
test,1256
control,1550
control,2026
control,1103
test,1447
test,933
control,1984
test,1758
control,1370
test,1567
control,1478
test,1528
test,1637
control,1046
control,1502
control,1701
test,1353
control,2197
test,1825
control,1541
control,1671
control,1106
control,1422
control,1821
test,1735
test,1646
test,1583
test,1578
control,1314
control,1195
test,1438
control,1769
control,1727
test,1337
control,1317
test,1803
test,1555
test,2070
control,1531
test,1971
test,1014
test,1460
control,1195
test,1124
control,1173
control,1665
control,1486
test,1836
test,1876
control,640
test,1581
control,1680
control,1335
test,1373
test,1428
control,1632
test,1898
test,1689
test,1700
control,1190
control,2165
test,1336
test,1950
test,1251
control,2072
test,1721
control,1933
control,1685
control,1027
control,1133
control,1283
test,1122
test,1357
control,1895
test,1705
control,1531
test,1970
test,1623
control,1176
test,1355
control,1272
test,2018
test,1158
control,1435
test,1801
control,1499
test,1477
test,1294
test,1099
test,1132
control,1505
test,1670
control,1031
test,1377
control,1260
test,1623
control,1454
test,1784
test,2027
control,1380
control,1584
test,1401
control,1777
test,631
test,1311
control,1397
control,1713
test,1910
test,1179
test,1717
control,1643
test,1361
test,1596
test,1805
test,1611
control,1651
test,1960
control,1641
test,1213
test,1991
test,1701
test,1093
control,1885
control,1927
test,1720
test,1345
test,1230
control,1491
control,1420
test,1294
test,1248
control,1607
control,1701
control,1032
test,1147
control,1604
control,1717
test,1382
test,1201
test,1937
control,1578
test,1502
control,1722
test,1315
control,1360
control,1507
test,1563
control,1594
test,1555
test,1567
control,1560
test,1960
test,1228
test,1458
control,1418
test,1317
control,1037
test,1378
test,896
test,1975
control,897
test,1268
test,1907
control,1357
control,1422
control,1513
control,1840
test,654
control,1933
test,1282
control,1567
test,969
control,1280
test,1876
test,1074
control,1633
test,1406
control,2251
test,1191
control,1215
test,1907
control,1884
test,1159
control,1537
control,1950
control,1279
control,1316
control,1583
test,1104
control,1319
control,1805
test,1414
control,1411
control,1771
control,1693
control,2098
test,1450
control,1552
test,1415
control,1338
control,1888
control,1169
control,1649
control,1476
control,1930
control,1560
control,1601
test,1565
test,1386
test,1377
test,1602
control,1932
test,1442
test,1231
test,1586
control,1631
test,1472
test,992
control,1640
control,1374
control,1764
control,1339
test,1387
test,1694
control,1260
control,1543
control,1568
control,1446
test,1373
control,1371
test,1246
control,1139
control,1656
control,1139
control,1489
test,2031
test,2145
control,1003
test,1063
control,1970
control,917
test,1666
control,1315
control,2100
control,2080
test,1772
test,1833
control,1622
control,1919
control,1208
test,1611
control,1421
control,1174
control,1558
test,1688
test,1338
control,1545
control,1445
test,1569
control,1515
control,1251
test,1770
test,1344
control,1193
control,1325
test,1396
test,1865
test,1808
test,1954
control,1982
control,1766
test,1935
test,1296
control,1863
control,1760
control,1271
test,1256
control,1824
control,1458
control,1370
control,1594
control,1374
control,1347
control,1757
control,1267
control,1307
test,1762
test,1559
test,1416
control,1618
test,1430
test,1357
control,1492
control,1788
test,1686
control,1223
control,1605
test,1402
test,1901
control,1636
control,1124
test,1617
control,1144
test,1502
control,1437
test,1450
control,935
control,1368
control,1903
control,1691
control,1441
test,1686
control,1416
control,1636
test,1780
control,1170
test,1950
control,1693
test,1299
test,1870
control,1521
test,1338
control,1654
test,1398
test,2101
test,1491
test,1899
test,1940
test,1833
test,1719
test,1174
test,1757
test,1339
control,1593
control,1505
test,1575
control,1902
control,1628
control,1571
control,1894
control,1938
control,1329
control,1654
test,1621
control,2119
test,1962
test,945
test,1968
test,1381
test,1156
control,1256
test,1851
test,1713
control,1530
control,1875
test,1192
test,1438
control,1209
test,1651
test,1553
control,1368
test,1202
control,1280
test,1712
control,1667
control,1668
test,1091
test,1903
control,1791
control,1566
control,966
test,1143
test,1277
test,1591
control,1505
control,1553
test,1110
control,1834
control,1767
test,1052
test,1527
control,1323
control,1778
test,1304
control,1213
test,1679
control,1671
test,1757
control,1873
control,1247
control,2089
test,1578
test,1137
control,1763
test,1806
control,1544
control,1687
control,1867
control,1679
control,2035
control,2320
control,1398
control,1616
test,1615
control,1525
control,971
test,1710
control,1980
control,1221
control,1603
test,1701
test,1458
test,2428
test,1609
control,1150
control,1252
control,2166
test,930
test,1128
control,1834
control,2067
test,1613
test,1204
control,1864
test,1687
control,1489
control,1390
test,1753
test,1378
control,1491
test,1612
control,756
control,1442
test,1834
control,1211
control,911
test,1778
control,1568
control,1643
test,1338
control,1262
test,1733
test,1078
test,876
control,1061
test,1830
test,1408
test,1524
test,1574
test,1683
control,1717
test,1795
control,1557
test,1873
test,1231
control,1747
test,1536
test,1601
control,1853
control,1238
control,1921
test,1463
test,2191
control,1380
control,1418
control,1663
test,1434
test,1908
test,1554
control,1815
test,1368
test,1303
test,1239
test,1317
test,1446
test,1381
test,1868
control,1384
control,2074
test,1713
test,1404
test,1265
test,1757
control,1428
test,638
control,1538
test,1570
test,1902
control,1922
control,1387
control,1262
test,1590
test,2115
test,1409
control,884
control,1623
control,1741
control,1787
control,1150
test,1381
test,1826
control,1580
test,1598
test,1519
control,1713
control,1111
test,1079
control,1559
control,1846
control,2225
control,1313
test,1504
test,1828
control,1653
test,1637
control,1549
test,1677
test,1913
control,1794
control,980
control,960
control,1600
control,1818
control,1384
control,1751
test,1678
test,1369
test,1303
control,1726
control,1730
test,1300
test,1927
test,1664
test,1216
test,1849
control,1275
control,1619
control,1775
test,1724
test,1972
test,1309
test,1482
control,1109
test,1569
control,1632
control,1381
test,1669
control,1199
control,1759
control,1333
control,1915
control,1887
test,756
test,1645
test,1053
control,1404
test,1318
control,1103
test,1330
control,1885
control,1829
test,1091
test,1494
control,1113
control,1867
control,1601
test,1972
test,1381
test,2121
control,1542
control,1258
control,1014
test,1531
test,1548
control,1337
test,1118
control,1683
test,1706
test,1277
control,1812
test,1699
control,1461
test,1847
test,1601
control,1345
control,1862
control,1218
control,1492
test,1616
control,1213
test,1258
test,1466
control,1480
test,911
test,1592
test,1592
test,1473
test,1271
control,1319
control,1006
control,1813
test,1352
test,1677
control,921
test,1509
control,1597
control,1445
control,1404
test,1605
test,1279
test,1437
control,1457
control,1931
control,1531
control,1490
control,1781
test,1657
control,1582
test,1564
control,1279
test,1021
test,1658
control,1097
test,1378
test,1787
control,1345
test,1643
test,1043
control,1403
test,1535
control,1515
control,1605
control,1766
test,1689
test,783
control,1194
control,1700
control,1252
control,1657
control,1537
test,1726
control,1253
test,1561
control,1000
control,1223
control,1501
control,1765
test,1382
control,1305
test,1392
control,1523
control,1698
test,1168
control,1057
test,1715
test,1504
control,1524
control,1389
test,1453
control,2832
control,2118
control,1367
test,1417
control,1932
test,1340
test,1127
control,1803
control,917
test,1281
test,1613
test,1561
test,1477
test,1846
test,1935
test,1569
control,1455
control,1306
control,1344
control,1591
test,1346
test,1496
control,1478
test,1555
control,1345
test,1687
control,2149
control,1460
test,1206
test,1352
test,1592
test,1925
test,1408
control,1597
test,1307
control,1763
control,1446
test,1039
test,1496
test,844
test,1465
control,1628
control,1141
test,1589
test,1521
control,1756
test,1391
control,1355
test,1694
control,890
test,1655
control,1708
control,1608
control,1212
test,1451
control,1286
test,1779
control,1647
test,1096
test,1300
control,1152
control,1730
control,1340
test,1146
test,1571
test,1349
control,1445
test,1023
control,1510
test,1225
control,1630
test,1781
test,1582
test,1443
test,1624
control,2086
control,1637
test,1418
test,1357
control,1407
test,1433
test,1499
test,1205
control,1560
control,1535
control,1473
test,1941
control,2067
control,1401
test,1599
test,1454
control,1720
control,2117
control,1345
test,1684
control,1094
control,1394
control,1310
control,1469
test,1198
test,1858
control,1512
control,1456
test,1508
test,1414
test,1569
test,842
control,1660
control,1294
control,1421
test,1205
control,1334
test,1506
test,1687
test,1806
test,1614
test,1285
test,1705
test,1470
test,1611
control,1572
test,1473
test,1821
test,1503
control,1534
control,1323
test,1746
test,1294
test,972
control,1836
test,1216
control,1624
control,1464
control,1860
test,1772
test,886
test,1204
test,2098
test,1741
test,1729
control,1378
control,1184
control,1465
test,1219
test,1487
test,1916
control,1356
test,1207
test,1077
test,1488
test,1646
test,1240
control,1512
test,1710
control,664
control,1475
test,1372
control,1514
test,1277
control,1735
control,1374
test,1177
test,1308
control,1430
control,1387
control,1079
control,1291
test,1564
test,1303
control,2050
control,1068
control,1238
control,1752
test,1744
test,1582
test,1105
test,1639
control,1157
control,1475
test,1121
control,1069
test,1184
control,1218
test,1858
test,1933
test,1580
test,1262
test,1871
test,1168
control,1056
control,1920
test,1101
test,1424
test,1389
control,1939
control,1394
test,1267
test,1404
control,1624
test,1274
test,1456
test,965
control,2022
control,1674
control,2120
control,2280
test,1847
test,1443
test,1853
control,1155
control,1994
control,1947
control,1536
test,1296
control,1558
test,2024
test,1513
control,1559
control,1689
control,944
control,1456
test,1469
control,1066
control,1497
control,1569
test,915
control,1756
control,1673
control,1376
control,1653
test,1934
control,1175
test,1196
control,1641
control,1830
control,1361
control,1080
control,1085
test,1458
control,1418
control,1621
test,1490
control,1096
control,1202
control,1543
control,1454
test,1019
test,1525
test,1473
control,1482
control,831
control,1871
control,1582
control,1457
control,1142
test,1499
test,1340
test,1764
test,1754
control,1543
control,1621
test,1634
test,1275
test,1203
test,1676
test,1077
test,1170
test,1354
control,1809
test,1634
test,1815
test,1451
test,1050
test,1455
test,1659
test,1392
control,1416
control,1704
control,1498
test,1484
test,1412
control,1491
control,1819
test,1724
control,1443
test,931
control,1358
control,1758
control,1544
test,1435
control,1851
test,1527
test,1257
control,1365
test,1385
control,1454
control,1339
control,2043
control,1714
test,1674
control,1626
test,1729
control,1333
test,1226
control,1316
test,1152
test,1357
test,2091
control,1156
test,1899
control,1873
control,1419
control,1326
test,1507
test,1272
control,1652
control,1694
control,1333
control,1167
test,1381
control,1302
control,1285
control,1317
control,1426
test,1188
test,1306
test,1602
control,1240
control,1328
control,1998
control,1301
test,1536
control,1455
test,2001
control,1915
control,1504
control,1735
test,573
control,2054
control,1192
test,1155
test,1702
control,1976
test,1395
test,1903
control,1056
control,1267
test,1150
test,1089
control,1124
test,1604
test,1837
test,1428
control,1369
test,1587
test,1411
test,1694
test,1451
test,1344
test,1244
test,1573
control,1888
test,2016
control,984
control,1289
test,1414
control,1519
test,1496
control,1667
test,1830
control,1893
control,2042
control,1764
control,1936
test,1342
control,1533
test,1299
control,1314
test,1998
control,1468
test,1663
control,1695
control,1388
test,757
test,1814
test,1649
test,1295
control,1530
control,1470
test,1742
test,1606
control,1836
test,1646
test,1430
test,1360
test,828
control,1280
test,1718
test,2016
control,1417
control,1770
control,1499
test,1407
control,1566
test,1646
test,1700
control,1739
test,1223
control,2097
control,1802
control,1073
control,1498
control,1394
control,1485
control,1120
control,1700
control,1218
test,1179
control,1567
test,1181
control,1476
test,1386
control,1690
control,2030
control,1389
control,1368
test,1263
test,1372
control,1300
control,1577
test,1817
control,1819
test,1613
control,1024
control,1889
test,1747
test,1350
test,1428
control,1705
test,2044
control,1713
test,1642
control,1665
control,2087
control,1212
test,1636
test,1211
test,1855
control,1524
control,1698
test,1264
control,2324
control,1124
test,2077
test,1566
test,1538
control,1529
test,1792
control,1566
test,1084
control,1064
test,1872
control,1764
test,1672
test,1209
control,1679
control,1550
control,2019
control,452
test,1440
control,1857
control,1633
control,1548
control,1670
control,1522
test,1079
control,1887
control,1646
test,1125
control,1895
test,1491
test,1589
test,1483
control,1568
control,1308
test,1527
test,1542
test,1798
test,1248
control,1533
control,1165
control,1427
test,1758
control,823
test,1256
control,983
control,1567
test,1349
test,1593
test,1154
test,1766
test,1529
control,1297
test,1499
test,1758
control,1519
test,1709
test,1634
control,1496
test,940
test,912
test,755
test,1348
test,1539
test,1237
control,1922
test,1475
control,1782
control,1220
control,1393
control,1278
control,1616
control,1717
control,2089
control,1738
control,1397
control,1357
test,1711
test,1130
control,1937
control,1767
test,1363
test,1384
test,1322
control,1761
test,1176
test,1242
control,1710
control,1520
test,1671
control,1400
test,909
control,1135
control,1656
control,1568
test,1152
control,1324
control,1514
control,1048
test,1513
test,1804
test,1417
test,2311
control,1298
control,1760
test,865
test,1125
control,1804
control,1134
control,1739
control,1510
control,1159
test,1734
control,973
control,1150
control,1636
test,1131
test,2104
control,1835
test,1460
test,1361
test,1916
test,1538
test,1700
control,844
control,1843
test,1059
control,1557
control,1613
control,1730
control,1275
test,898
control,1278
test,1400
test,1639
test,1135
test,1538
control,1254
control,1796
test,1470
control,1585
test,791
control,1560
control,1232
control,1401
control,1426
control,1537
control,974
control,1341
test,1322
test,1451
test,1537
test,1500
control,1457
test,1360
control,1374
control,1799
test,2076
control,813
test,1594
control,1631
control,1266
control,1552
test,1298
control,1622
control,1204
control,902
control,1858
control,1699
control,833
control,1296
test,1575
test,900
test,2472
control,1379
test,1319
control,1655
control,1931
control,1636
test,1010
test,1747
control,1994
test,1360
test,1063
control,1801
test,1258
test,1642
test,1460
test,1296
test,1797
test,1711
test,1666
test,1249
test,1753
test,1553
control,1265
control,1250
control,1766
test,1402
test,1775
control,1446
control,1610
test,1339
test,1384
test,1572
control,2085
test,1422
control,1306
test,1811
test,1622
control,1779
control,1714
test,1867
control,1573
control,1145
control,1856
test,1586
control,973
control,1568
test,1556
control,1334
control,1808
test,1627
test,892
control,1337
test,1528
test,1649
test,1769
test,1515
control,856
control,1369
test,1696
test,1815
control,1337
control,1500
test,1505
control,1226
test,2111
control,1716
control,1685
test,1139
test,1170
control,1548
test,1383
control,1549
control,1964
test,1480
test,1503
control,1508
control,898
control,1031
test,1431
test,1659
test,1710
test,1616
test,1868
test,1416
test,1388
control,1733
test,1936
test,1508
test,1651
control,1179
control,1562
control,1619
control,1350
test,1697
test,1272
control,1311
test,1681
test,1237
test,1672
test,1371
test,1340
control,1538
control,2306
control,1131
control,1149
control,1210
control,1481
control,908
control,1205
control,1179
test,1877
test,1469
control,1186
test,946
test,1354
control,1211
control,1467
test,1712
control,1865
test,1711
control,1850
test,1815
control,1235
control,2305
control,1123
test,1760
control,1764
test,1602
control,1407
test,1309
control,1551
test,1272
test,2289
test,1166
control,1360
control,1547
control,1489
test,1772
test,1150
control,1978
control,1901
control,1451
test,1309
control,1706
control,1454
test,2015
control,1430
test,1404
control,1386
test,1564
test,1515
test,1705
test,1790
test,1545
test,1642
control,1453
test,1458
control,1734
control,1656
control,1330
test,2231
control,1499
control,1250
test,1142
control,1872
control,1541
control,1298
test,1318
test,1772
control,1251
control,1654
test,1209
control,1352
control,1571
control,1772
test,1182
control,828
test,1585
test,933
test,1132
control,878
test,1291
control,1749
test,1308
test,1091
test,1963
control,1272
control,1504
test,1472
test,1333
control,1089
test,1731
control,1437
test,1647
test,1402
control,1250
control,1336
control,1479
test,1623
test,1883
control,1507
test,1675
test,1320
test,1457
control,976
control,1875
test,1868
test,1556
test,1246
control,1661
test,1707
test,921
test,2221
test,1454
control,1995
test,1656
test,1252
test,1804
control,1214
control,1110
control,1585
test,1629
test,1426
control,1732
control,2455
test,1729
control,1420
control,1575
control,1405
test,1231
test,1846
test,1645
test,1373
control,1005
control,1054
test,1159
control,1794
control,1770
test,908
control,1641
test,1727
test,1505
control,1652
test,2043
test,959
test,1510
test,1668
test,1591
test,1779
test,1949
test,1335
control,1772
test,1742
control,1239
test,1522
control,1295
control,1538
control,1725
control,1804
control,1623
test,1483
test,1607
test,1654
test,1346
test,1819
control,1413
test,1736
control,1624
control,1638
test,1410
control,1549
test,1620
control,1437
test,1601
control,1730
control,1319
test,2543
control,1255
test,1558
control,1336
control,1439
control,1210
test,1668
test,911
control,1552
test,1737
test,1637
control,1479
test,1027
test,1380
test,1458
test,1529
test,1433
test,715
control,1380
control,1542
test,984
control,1582
test,1659
control,1132
test,1661
test,1620
control,996
test,1538
test,1311
test,1785
control,1008
control,1760
test,1644
test,1612
control,1230
control,1552
test,1939
control,995
control,1254
control,1215
test,1176
test,1500
control,1867
control,1225
control,970
test,1650
control,1679
control,1219
control,975
control,1509
test,1956
control,1394
test,1398
control,1863
control,1418
test,1371
test,1432
test,1625
test,1624
test,1670
control,1674
control,1617
test,1437
test,959
test,1423
control,1569
control,1995
control,1337
test,1858
test,1950
test,1222
control,1441
test,1533
test,1921
test,1145
test,1416
control,1268
control,1656
test,2082
test,1900
test,1889
control,1661
test,1586
control,1708
control,1297
control,1134
test,1757
control,1522
control,1409
control,1860
test,1389
control,1184
control,1623
test,1110
test,1072
control,2106
test,1142
control,1160
test,885
test,1264
test,1630
test,1702
test,1398
control,1664
control,1647
test,1867
test,1241
control,1093
test,1578
test,1466
test,1117
control,1697
control,1766
test,1873
control,1498
test,1628
test,1403
test,1626
test,882
control,1843
test,1266
control,1306
control,1455
test,1682
test,1415
test,943
test,1343
test,1903
control,1716
control,1960
test,1970
test,1387
test,1427
test,1814
test,2225
control,1166
test,1694
test,1625
control,1423
test,1504
test,1867
test,1151
test,1486
control,1631
control,2050
test,1970
control,1573
test,1193
control,1465
control,743
control,1451
control,1334
control,1562
control,1800
control,1411
control,2146
control,944
test,1404
test,1376
test,1719
control,1741
test,1625
control,1391
test,1832
control,1776
control,1294
test,1535
control,1559
control,1318
control,1740
control,1773
test,1476
test,1060
test,1375
test,917
control,1495
control,1416
test,2379
control,637
control,1249
control,1565
control,1675
test,899
control,1419
control,1320
test,1350
control,1325
test,1610
control,1698
control,1781
control,2206
test,1418
test,1687
control,1029
test,1423
control,1383
control,1818
control,1181
control,1937
control,1195
test,741
test,1606
control,1911
control,1732
control,1260
control,1625
control,1324
control,1440
test,1297
test,1495
control,1457
control,1644
control,1552
test,1037
test,1890
control,1535
test,1290
control,1695
test,1147
control,1646
control,1684
test,1467
test,1419
control,1559
test,1711
control,1880
test,1493
control,2259
control,1570
test,853
test,1348
control,1664
test,1602
test,1936
test,1620
control,1398
test,1501
test,1212
test,1278
test,1262
test,780
control,1696
control,1419
control,1664
control,1314
test,1572
test,1734
control,827
control,1670
control,1773
control,1128
test,2013
test,1421
test,1864
test,1583
control,2104
control,1597
control,1522
test,2251
test,1457
test,1192
control,2096
test,1745
test,1439
test,1934
control,1917
control,1313
test,1737
test,1738
test,1257
control,1174
test,608
control,1473
test,1245
test,1642
test,1825
test,802
test,1202
test,1669
test,1908
control,1013
control,1667
control,1421
control,1321
test,1552
test,1553
test,1548
control,1775
control,1256
control,1503
control,1661
test,1602
control,1416
control,1045
test,1389
test,2205
test,1529
test,1715
control,1346
test,1732
test,1779
control,1658
control,1617
control,1120
control,1762
control,901
test,970
control,1420
control,2006
test,1754
test,1892
control,1568
control,1599
control,1746
control,1222
test,1660
control,1536
test,1324
control,1868
control,1449
control,1683
control,1406
control,2110
control,1473
test,1134
control,1240
control,984
control,1222
test,1749
control,1316
test,1449
control,1070
control,1643
control,1101
control,1381
control,1401
test,1097
test,1409
control,1927
control,1096
control,1838
test,2048
test,1752
test,1273
control,1819
control,1441
control,1460
test,1268
test,1626
control,1467
control,1399
test,1708
test,1658
control,1293
control,1677
control,1817
control,1880
test,1353
control,1746
test,1451
control,1303
control,1422
control,1112
test,1247
test,1422
test,1164
test,1335
test,1637
control,1932
control,1022
control,1328
test,1705
control,1995
control,1335
control,1233
test,1409
control,1565
test,1097
control,1410
control,1588
test,1499
control,1291
control,1508
test,995
test,1760
control,1657
control,1176
control,1004
control,1750
control,1302
test,2082
test,1409
control,1234
test,1355
control,1751
test,1615
control,1297
test,1428
test,1210
test,1869
test,1388
control,1631
test,1380
test,1261
test,1539
test,1448
control,729
control,1253
control,1472
control,1691
test,1808
control,1473
control,1728
test,1845
control,1499
test,1457
test,1116
control,1200
control,1713
control,1566
control,2029
test,1471
test,1866
test,2192
test,1587
test,965
control,1604
test,1656
control,1807
control,1112
test,1529
control,1837
test,1476
test,1313
control,2067
control,1837
test,1429
control,1722
test,2034
control,879
control,1627
test,2050
control,1503
test,1672
test,1649
control,1618
control,1690
test,1871
control,1528
control,1563
test,1579
test,568
test,1430
test,1541
test,1282
control,1718
control,1363
test,1496
test,1854
control,1475
control,1013
control,1589
control,1528
test,1653
test,2042
control,1403
test,1976
test,1847
test,1342
control,1403
control,1748
test,1449
control,1833
test,1967
test,1615
control,1215
test,1489
control,1606
control,873
test,1915
test,1763
test,1412
test,1476
control,1468
control,1874
control,1587
test,1816
test,1702
test,1782
control,967
test,1975
control,1098
test,1901
control,1223
test,1875
test,1199
control,1142
control,1321
control,1052
control,1103
control,1994
control,1811
test,1109
test,1277
control,1447
control,1675
test,1120
test,1511
control,1266
control,1297
test,1288
test,1271
test,1874
control,2174
test,1553
test,1011
control,1199
control,1449
test,1429
test,1545
control,1389
test,1088
control,1604
test,1243
control,1290
test,1960
test,1537
control,1921
test,1196
control,1481
control,1744
test,1552
control,1744
test,1623
test,1193
test,1369
control,1459
control,1968
test,1375
control,1960
control,1563
test,1204
control,1539
control,1315
test,1173
control,1801
test,992
test,1336
test,1760
test,1655
test,1701
control,1869
control,1205
test,1679
test,1435
control,1196
test,1077
control,1729
test,1353
test,2045
control,1053
test,1742
control,789
test,1560
test,1792
test,1387
control,1547
control,1137
test,1468
control,1897
test,1780
control,899
test,1232
test,1735
test,1108
control,1923
control,1140
control,1027
test,1764
test,1334
control,1026
control,944
control,1806
control,520
control,1473
test,1823
test,1629
test,1108
test,1500
control,1177
control,1398
test,1985
test,1395
test,1314
test,1224
control,1231
test,1543
control,1627
test,1241
control,1390
control,1133
control,1524
control,1981
test,1616
test,1451
control,1279
test,1471
control,1960
control,1215
control,846
control,1252
control,1925
test,1619
control,1227
control,1301
control,1937
test,1561
control,1339
control,1452
control,1415
control,1490
test,1565
test,1785
test,1632
test,930
control,1235
control,1716
test,1996
control,2140
test,1345
test,1230
control,1720
control,1198
control,2002
test,1443
control,1690
control,1254
test,980
control,2079
control,653
control,1223
control,1281
test,1624
control,1328
control,1912
control,1762
control,1776
test,1654
test,1323
test,1615
test,1473
control,1570
control,1175
test,1198
test,1295
test,1753
control,1459
control,1426
test,1894
control,1355
control,1540
test,1227
test,636
control,649
test,1332
test,2038
test,1610
test,1753
test,1105
control,1871
control,1733
control,1945
test,1566
test,1628
test,1918
control,1019
control,724
control,1435
control,1429
test,1569
control,1584
control,1617
control,2178
control,1361
control,1488
control,1201
test,1383
test,1362
test,1742
test,1139
test,1319
control,1498
control,1669
test,1785
test,1739
test,1887
control,1580
control,1776
test,1058
control,1138
test,1432
test,1651
test,1570
control,939
test,1321
control,1316
test,647
control,1542
test,1964
test,713
control,1986
control,1586
control,1010
test,981
control,1008
test,1248
test,1937
control,2293
control,1101
test,781
control,1692
control,1336
test,1561
control,1279
test,1456
control,1119
test,1570
control,1637
test,1643
control,1683
control,1102
control,1684
test,1832
control,1666
test,1340
test,1544
control,1561
control,1642
control,1544
control,1185
test,1704
test,1016
test,1924
test,1271
control,969
test,1736
test,1336
control,1134
test,1323
control,1563
test,1289
control,1730
test,1320
control,1649
control,2068
test,1433
control,1355
control,1569
test,1927
test,1113
control,1613
control,1785
test,1095
control,892
control,1296
test,1268
test,1746
test,1341
test,1192
test,1503
control,1358
control,1110
control,976
control,1667
control,869
control,1297
control,1401
control,1161
test,1796
test,1861
test,1156
control,1867
control,1047
control,1630
test,1664
test,1398
test,1629
test,1626
test,1678
control,1528
test,2031
test,1720
test,1025
control,1197
control,995
control,1235
test,1800
control,1381
test,1081
control,1992
control,1495
test,1579
test,1320
test,1422
test,1112
test,1531
control,1444
control,1780
control,1393
test,2008
control,1479
test,1921
control,1970
control,1497
control,1611
control,1493
control,1430
test,1637
control,1662
test,1611
test,1202
test,2015
control,1392
control,1277
control,1299
test,1312
control,1933
control,1390
control,1516
control,1856
control,1458
test,2439
test,1591
control,1903
test,1655
test,1358
control,1343
test,1053
test,1567
test,1505
control,1496
control,864
test,2010
test,1348
control,1496
test,2029
control,1584
test,1809
control,1731
control,902
test,778
control,1280
control,1299
control,1612
test,2168
test,1551
test,1648
test,1558
test,1636
control,1332
test,1627
test,1814
control,2139
test,1023
control,1607
control,2138
control,1438
test,1597
test,1328
control,1810
test,1448
control,1243
control,1106
control,1545
control,1543
test,1897
control,1215
control,1288
control,1324
test,1402
test,1398
control,1491
test,1423
test,2191
test,1021
test,1537
control,1491
control,1459
control,1043
test,1556
control,1996
test,1752
control,1575
test,1893
control,716
test,1377
test,1599
control,1267
test,1332
control,1357
control,1540
test,1044
control,2032
test,1424
test,1715
control,1359
control,1460
